region	gene	logFC	logCPM	F	PValue	FDR
jcf7180000420409_351001_351300	HELPU_000144	2.37156787540892	2.83315722773547	15.9462887529161	0.000712625573883122	0.049735673794011
jcf7180000420409_427401_427600	HELPU_000151	3.92191372656967	0.269205530976989	19.9336248625286	0.000236581000973951	0.0319185993245247
jcf7180000420409_699301_699600	HELPU_000180	-2.05841605427627	2.07592447381526	16.2134157560892	0.000659190200895204	0.0481828822521874
jcf7180000420409_919401_919500	HELPU_000205	-2.00014485139935	0.595695033186406	19.5478100607222	0.000261316574519979	0.033216157790366
jcf7180000347063_898601_899200	HELPU_000369	-2.68772221264862	0.386711159928952	23.2821021381954	0.000102139011360054	0.0232673453364335
jcf7180000347130_317201_317500	HELPU_000411	2.55597944760735	1.14819104991051	16.8612350496485	0.000547073428143372	0.0449739673585882
jcf7180000420429_154101_154200	HELPU_000463	7.34597806176473	0.42612754113221	23.1923373743171	0.000188968732251201	0.0291783003086333
jcf7180000420429_517201_517300	HELPU_000497	2.88879035577866	0.27648211983091	17.9916764428473	0.000397737183395161	0.0393496581606941
jcf7180000417094_264801_265000	HELPU_000524	-3.70691785960197	1.02406795639103	16.0324354899233	0.000694887644880425	0.0494590605711052
jcf7180000417094_386701_386800	HELPU_000531	2.21925333110177	0.762017714021289	32.1339765391982	1.49336598145815e-05	0.0112860247485782
jcf7180000417094_1020701_1020800	HELPU_000574	-6.48084763082913	0.45858158763228	44.0599129180508	1.81666321700412e-06	0.0046459053147932
jcf7180000417094_1020701_1020800	HELPU_000575	-6.48084763082913	0.45858158763228	44.0599129180508	1.81666321700412e-06	0.0046459053147932
jcf7180000417100_211901_212000	HELPU_000637	2.89589220186516	0.231324586595576	16.0931381496472	0.000682327508727591	0.0490643935609622
jcf7180000417100_513201_513600	HELPU_000660	2.49520279412584	2.62439968167486	20.9553789169028	0.00018184105499888	0.0287440330354107
jcf7180000416159_157701_157800	HELPU_000693	3.40877262383876	0.465615976637262	24.4102699151697	7.8192103998294e-05	0.021284700565058
jcf7180000416159_280301_280600	HELPU_000699	1.79401041520255	3.15469481295862	23.7516969012466	9.12972330748293e-05	0.0221805415525385
jcf7180000395598_186401_186500	HELPU_000744	6.0499935926536	-0.173554019704831	25.0897322531879	0.000300517587765545	0.0352617766079954
jcf7180000395598_313701_313900	HELPU_000753	5.2187184765547	0.350325395708191	20.5540315890077	0.000201489011230919	0.0299519712834255
jcf7180000395598_614401_614500	HELPU_000777	4.5867436569336	1.92708747732678	28.4856520672964	8.23306002751235e-05	0.021594969638281
jcf7180000347104_438301_438400	HELPU_000818	-5.74013180666039	1.42346560032953	22.1656371431345	0.000134307125470192	0.025542184814314
jcf7180000420431_529301_529600	HELPU_000874	3.62798029673794	1.57560448985862	26.8901218502809	4.46905577895264e-05	0.0177539284271576
jcf7180000347071_551201_551300	HELPU_000962	4.42314207737433	0.287651975525591	19.3803461442949	0.000442946402542381	0.0416727514551341
jcf7180000421689_129501_129800	HELPU_000982	1.94408947071614	2.59803115347381	19.5127873261743	0.00026401152714903	0.0333864799179277
jcf7180000347144_119101_119300	HELPU_001035	-3.81030117069388	0.000604052763265726	16.8374636827878	0.000550793640661077	0.0450979345590558
jcf7180000347144_225201_225400	HELPU_001048	-3.01762497813353	3.05244083849529	17.5934870558536	0.000445023873378061	0.0416853104666018
jcf7180000417101_425001_425800	HELPU_001102	-2.37499316182071	1.4497490704697	20.5567176582293	0.000201349973616609	0.0299519712834255
jcf7180000413244_71601_71900	HELPU_001125	2.17438270952834	2.87702251485933	24.42246630143	7.80822343862756e-05	0.0212796005219389
jcf7180000413244_156001_156100	HELPU_001130	-6.35904773704377	-0.250042818319605	18.8078361564271	0.000395735483995599	0.0393496581606941
jcf7180000413244_537501_537800	HELPU_001163	2.67754278726929	0.182328947736657	19.4997114675967	0.000264660246769439	0.0334093611729529
jcf7180000347103_124101_124200	HELPU_001170	2.26688343716035	1.19658806643058	18.6642885080009	0.000331019115011597	0.0367263725851591
jcf7180000347103_479601_479700	HELPU_001196	6.38615659378081	0.727436367415499	16.1245491454556	0.000676458894981754	0.048825963144518
jcf7180000413248_362801_363100	HELPU_001284	8.59281868546257	0.721515905458676	27.1621718223009	4.93686200545437e-05	0.0180692557655124
